TDID,Run,TestCaseID,DefectID,APPLICATIONNAME,PAGETITLE,MENU,SUBMENU,EXTERNALAPPLICATIONMENU,EXTERNALAPPLICATIONSUBMENU,STORENUMBER
43,YES,Store Search in Yesterday Calls,,NVI Corporate Portal,NVI Corporate Portal,Store Info,RediCall Lookup,Stores,Yesterday Calls,5101
44,YES,Store Search in Advanced Search,,NVI Corporate Portal,NVI Corporate Portal,Store Info,WIP (Work In Progress),Corporate,Advanced Search,5101
45,YES,Store Search in Store Services,,NVI Corporate Portal,NVI Corporate Portal,Store Info,WIP (Work In Progress),Stores,Store Services,5101
46,YES,Store Search in Canceled Jobs,,NVI Corporate Portal,NVI Corporate Portal,Store Info,WIP (Work In Progress),Stores,Canceled Jobs,5101
47,YES,Store Search in Jobs Search,,NVI Corporate Portal,NVI Corporate Portal,Store Info,WIP (Work In Progress),Stores,Jobs Search,5101
48,YES,Store Search in 3 Days: Shipped,,NVI Corporate Portal,NVI Corporate Portal,Store Info,WIP (Work In Progress),Stores,3 Days: Shipped,5101
49,YES,Store Search in Today: Shipped,,NVI Corporate Portal,NVI Corporate Portal,Store Info,WIP (Work In Progress),Stores,Today: Shipped,5101
50,YES,Store Search in Today: Received,,NVI Corporate Portal,NVI Corporate Portal,Store Info,WIP (Work In Progress),Stores,Today: Received,5101
51,YES,Store Search in In-Process Jobs,,NVI Corporate Portal,NVI Corporate Portal,Store Info,WIP (Work In Progress),Stores,In-Process Jobs,5101
52,YES,Store Search in NPS Rolling Periods,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Report Card,NPS Rolling Periods,5101
53,YES,Store Search in Marketing Initiatives,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Other,Marketing Initiatives,5101
54,YES,Store Search in ACLens Patient Search,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Other,ACLens Patient Search,5101
55,YES,Store Search in Doctor Coverage,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Other,Doctor Coverage,5101
56,YES,Store Search in UltiPro - SDS Lookup,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Employees,UltiPro - SDS Lookup,5101
57,YES,Store Search in Search,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,Employees,Search,5101
58,YES,Store Search in Fees,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfer History,DREX,Fees,5101
